Abandon;TERK ETMEK
Splash;SIÇRATMA
Splendid;NEFİS, HARİKA
Split;İKİYE BÖLMEK
Spoil;1.ZARAR VERMEK 2.ŞIMARTMAK
Spoon;KAŞIK
Sport;SPOR
Spot;1.KÜÇÜK YUVARLAK İŞARET 2.BEN (ciltteki) 3.LEKE
Spot;1.LEKELEMEK  2.TANIMAK,AYIRMAK
Spread;YAYILMAK, YAYMAK
Spring;1.İLKBAHAR 2.YAY 3.ÜSTÜNE ATLAMAK 4.PINAR
Spy;CASUS
Square;KARE
Squash;1)BİR ÇEŞİT OYUN 2)SIKIŞMAK
Squeeze;SIKIŞMAK, SIKIŞTIRMAK, SIKMAK
Stabilize;DENGELEME,SAPTAMA
Stable;1)AHIR 2)İSTİKRARLI (Stable goverment)
Stadium;STADYUM
Staff;ELEMAN, MEMUR
Stage;1.EVRE SAFRA 2.SAHNE
Stain;LEKELEMEK
Stair;MERDİVEN
Stall;1)KÜÇÜK DÜKKAN, TEZGAH 2)VAKİT KAZANMA
Stamp;PUL, DAMGA, DAMGALAMAK
Stamp;AYAKLA BASMAK, EZMEK
Stand;1.AYAKTA DURMAK,BULUNMAK 2.STAND IN=DUBLÖRLÜK YAPMAK
Standard;STANDART
Stapler;ZIMBA (Tel)
Star;YILDIZ
Stare;UZUN SÜRE BAKMAK
Start;BAŞLAMAK, BAŞLANGIÇ
State;1.DEVLET 2.DURUM
State;SÖYLEMEK VEYA YAZMAK(bir şeyi)
Station;İSTASYON, DURAK
Stationery;KIRTASİYE
Statue;HEYKEL
Stay;KALMAK
Steady;SABİT
Steak;BONFİLE
Steal;ÇALMAK
Steam;BUHAR
Steel;1)ÇELİK 2)BÜYÜK GÜÇ
Steep;1)HIZLI YÜKSELME veya DÜŞME, GENİŞ AÇI 2)ÇOK FAZLA
Steer;DİDON, YÖNLENDİRMEK (bisiklet,motor,sandal,vs.)
Step;1.ADIM, ADIM ATMAK  2.ÜVEY
Step Child;ÜVEY ÇOCUK
Sterile;1)AMELİYATLA KISIR ETMEK 2)BAKTERİ
Sterilize;KISIRLAŞTIRMA, MİKROPLARDAN ARITMA
Stethoscope;GÖĞÜS DİNLEME CİHAZI, STETESKOP
Steward;1) ERKEK HOSTES 2) KAHYA (çiflik vb.)
Stick;SOPA, BASTON
Stick;YAPIŞTIRMAK, DEĞDİRMEK, YAPIŞMAK
Stiff;KOLAY BÜKÜLMEYEN, SERT
Still;1.HAREKETSİZ, SAKİN  2.HALA
Stir;1.KARIŞTIRMAK (çay v.b)  2.HAREKET ETTİRMEK
Stock;1.STOK, STOK YAPMAK 2.HİSSE SENEDİ
Stock Certificate;HİSSE SENEDİ
Stocking;KADIN ÇORABI
Stomach;MİDE
Stone;1.TAŞ  2.MEYVE ÇEKİRDEĞİ  3.(6.3)Kg.
Stool;TABURE
Stop;STOP, DURMAK, NOKTA, DURAK
Store;DÜKKAN, DEPOLAMAK
Storm;FIRTINA
Story;ÖYKÜ ,HİKAYE
Stove;SOBA
Straight;DÜZGÜN, EN KISA YOLDAN
Strain;GERMEK, SÜZMEK, İNCİLTMEK, ÇOK GÜÇ, ZOR
Strainer;SÜZGEÇ
Strange;GARİP, TUHAF
Strap;TUTACAK, ASKI (Elbise, Ayakkabı)
Straw;1.SAMAN  2.KAMIŞ (bardak için v.b)  3.HASIR
Strawberry;ÇİLEK
Stream;IRMAK
Street;CADDE
Strength;GÜÇ, KUVVET
Stress;BASTIRMAK(üzerine basa basa konuşmak), STRES
Stretch;1.GERİNMEK,GERMEK 2.BİR KEREDE 3.TOPRAK PARÇASI
Stretcher;SEDYE
Strict;KATI (katı kuralları olan)
Strike;1.GREV YAPMAK, GREV  2.VURMAK
String;İP,TEL
Strip;SOYMAK, SOYUNMAK
Stripe;1.ŞERİT,ÇİZGİ  2.KIRBAÇ CEZASI
Stroke;1.ÇARPIŞ 2.FELÇ 3.OKŞAMAK
Strong;GÜÇLÜ
Structure;YAPI
Struggle;1.KAVGA ETMEK 2.ÇABA
Student;ÖĞRENCİ
Studio;SÜTÜDYO
Study;ÇALIŞMAK, OKUMAK, İNCELEMEK
Stuff;1.CİSİM , ŞEY 2.TIKIŞTIRMAK
Stupid;APTAL
Stutter;KEKELEMEK, KEKEME
Style;SİTİL
Subject;1.KONU  2.ÖZNE
Submarine;DENİZALTI
Submit;1)REYİNE,ONAMASINA BIRAKMA 2)TESLİM OLMA,BOYUN EĞME
Subscribe;1)ABONE PARASI ÖDEME 2)SÜREKLİ PARA YARDIMI YAPMAK
Subsidize;YARDIM ETME (In scholl you can buy subsidized meats)
Subsidy;YARDIM, SÜBVANSİYON (Devletten)
Substance;MADDE, CEVHER
Substitute;VEKİL TAYİN ETME, YERİNE GEÇME
Subtract;ÇIKARMAK (6-3=3)
Suburb;BANLİYÖ
Subway;ALT GEÇİT , ALT YOL
Succeed;1.BAŞARMAK  2.YERİNİ ALMAK
Success;BAŞARI
Succession;ARDARDA ,DEVAMLI
Such;1.BUNUN GİBİ  2.BU KADAR
Suck;EMMEK
Sudden;ANİ
Suffer;ACI ÇEKMEK
Sufficient;YETERİNCE
Sugar;ŞEKER
Suggest;ÖNERMEK
Suggestion;ÖNERİ
Suicide;İNTİHAR (Commit suicide : İntihar etmek)
Suit;1.YAKIŞMAK 2.UYGUN GELMEK 3.TAKIM ELBİSE
Suitcase;BAVUL (Elbise iρin)
Sum;TOPLAM
Summary;ÖZET
Summer;YAZ
Summit;ZİRVE
Sun;GÜNEŞ
Sunday;PAZAR (günü )
Sunset;GÜNEŞİN BATIŞI
Sunshine;GÜNEŞ IŞIĞI
Suntan;BRONZ RENGİ (ciltte)
Super;SÜPER
Superb;HARİKA, ÇOK GÜZEL
Superior;DAHA İYİ, ÖNEMLİ, AKILLI
Superstition;BATIL İNANÇ
Supervise;DENETLEME, GÖZLEM
Supper;YEMEK (günün son yemeği)
Supplies;ERZAK, MAL
Supply;SAĞLAMAK, MİKTAR
Support;TAŞIMAK, YARDIM ETMEK, TARAF TUTMAK, DESTEKLEMEK
Suppose;SANMAK
Suppress;1)BASKI ALTINA ALMA,SİNDİRME 2)YAYINLANMASINI ÖNLEME
Supreme;YÜCE, ÜSTÜN
Sure;EMİN, KESİN
Surface;YÜZEY
Surgeon;CERRAH
Surgery;AMELİYAT
Surname;SOYADI
Surprise;1.ŞAŞIRTMAK 2.SÜRPRİZ
Surrender;TESLİM OLMAK (To yield)
Surround;ÇEVRELEMEK
Suspect;ŞÜPHELENMEK
Suspend;ASKIYA ALMAK, DURDURMAK
Suspension;ASMA,ASILMA (Suspensıon Brıdge : Asma köprü)
Suspicion;ŞÜPHE
Swallow;1.YUTMAK 2. KIRLANGIÇ
Swan;KUĞU
Swear;1.YEMİN ETMEK 2.KÜFRETMEK
Sweat;TER,TERLEMEK
Sweater;SÜVETER
Sweep;SÜPÜRMEK
Sweet;TATLI
Swell;ŞİŞMEK, KALINLAŞMAK
Swim;YÜZMEK
Swing;1.SALLANMAK  2.GÜÇLÜ RİTİM
Switch;AÇMAK, KAPATMAK (düğme)
Swollen;ŞİŞMİŞ
Sword;KILIÇ
Symbol;SEMBOL
Syrup;ŞURUP
System;SİSTEM
Table;1.MASA 2.TABLO,LİSTE
Tablet;TABLET
Taboo;AYIP, ARGO, TABU
Tail;KUYRUK (kedi,uçak v.b)
Tailor;TERZİ
Take;TUTMAK,ALMAK,TAKE OFF=elbise çıkarmak,uçak kalkması
Talent;1)KABİLİYET (ÜSTÜN) 2)SEKSİ CAZİBESİ OLAN KADIN
Talk;KONUŞMA, KONUŞMAK
Talkative;KONUŞKAN
Tall;UZUN
Tame;EVCİL, EVCİLLEŞTİRMEK
Tan;TEN RENGİ
Tangerine;MANDALİNA
Tank;1.TANK (depo) 2.TANK (silah)
Tap;1.MUSLUK 2.TIKLATMAK
Tape;BANT, SELOTEYP
Tape-Measure;MEZURA
Target;HEDEF
Tariff;TARİFE, FİAT LİSTESİ
Tart;1)TURTA,TART,PASTA 2)ASİT TADI3)SOKAK KADINI,FAHİŞE
Task;GÖREV
Taste;TATMAK, TAD
Tax;VERGİ
Taxi;TAKSİ
Tea;ÇAY
Teach;ÖĞRETMEK
Teacher;ÖĞRETMEN
Team;TAKIM, GRUP
Tear;1.GÖZYAŞI 2.DELİK (kumaş,kağıtta v.b) 3.YIRTMAK
Tease;1)KIZDIRMA,YÜZ VERİP SONRA SIRT ÇEVİRME2)KABARTMA(SA
Technique;TEKNİK
Teenager;13-19 YAŞ ARASI
Telegram;TELGRAF
Telephone;TELEFON
Telescope;TELESKOP
Television;TELEVİZYON
Tell;ANLATMAK, SÖYLEMEK
Temper;1.RUHSAL DURUM 2.KIZGIN
Temperature;SICAKLIK
Temple;TAPINAK
Temporary;GEÇİCİ
Tempt;CEZBETMEK, ŞEYTANA UYDURMAK
Tenant;KİRACI
Tend;MEYİLLİ OLMAK
Tender;1.KOLAY ÇİĞNENEBİLEN 2.YUMUŞAK, İYİ HUYLU 3.İHALE
Tent;TENTE,ÇADIR
Term;1.ZAMAN DİLİMİ 2.SÖZCÜKLER  3.SÖMESTR
Terminal;TERMİNAL
Terrace;BİTİŞİK EVLER
Terrible;KORKUNÇ, KÖTÜ
Terrific;1.KOCAMAN 2.ÇOK GÜZEL
Terrify;KORKUTMAK
Territory;TOPRAK PARÇASI
Terror;1.BÜYÜK KORKU  2.TERÖR
Test;SINAMAK, DENEMEK, TEST
Than;...DEN ...DAN EKİ
Thank;TEŞEKKÜR ETMEK
That;O
Theatre;TİYATRO
Their;ONLARIN
Them;ONLARI
Theme;TEMA, KONU
Then;1.ÖYLEYSE 2.O ZAMANDA 3.ONDAN SONRA,DAHA SONRA
Theory;TEORİ
There;1.ORADA 2.VAR OLMAK (There is DALLAS on TV today.)
Therefore;DOLAYISIYLA
Thermometer;TERMOMETRE
These;BUNLAR
They;ONLAR (çoğul üçüncü kişi zamiri)
Thick;1.KALIN 2.SIK
Thief;HIRSIZ
Thin;İNCE
Thing;ŞEY
Think;DÜŞÜNMEK
Third;ÜÇÜNCÜ
Thirsty;SUSAMIŞLIK, SUSATAN
Thirteenth;ONÜÇÜNCÜ
Thirtieth;OTUZUNCU
This;BU
Thorough;1.TÜMÜYLE 2.DİKKATLİ
Thoroughly;TAMAMIYLA, BÜTÜN İNCE DETAYLARIYLA
Those;ONLAR
Though;NEDENSE
Thought;DÜŞÜNCE
Thoughtful;DÜŞÜNCELİ,ÖBÜRLERİNİ DÜŞÜNEN
Thoughtless;DÜŞÜNCESİZ
Thread;İP, İPİ İĞNEYE TAKMAK
Threat;TEHTİD
Threaten;TEHTİD ETMEK
Throat;GIRTLAK, YEMEK BORUSU
Through;İÇİNDEN, BAŞTAN SONA
Throw;FIRLATMAK
Thumb;EL, BAŞ PARMAĞI
Thunder;GÖK GÜRÜLTÜSÜ
Thunderstorm;FIRTINA
Thursday;PERŞEMBE
Thus;BÖYLE, BÖYLECE
Tick;SAAT SESİ, OKEY İŞARETİ
Ticket;BİLET
Tide;GEL-GİT OLAYI
Tidy;DÜZENLİ, DERLİ TOPLU
Tie;1.BAĞ, BAĞLAMAK, BERABERE 2.BOYUNBAĞI KRAVAT
Tiger;KAPLAN
Tight;SIKI, KOLAY AÇILMAZ
Till;1.KADAR 2.YAZAR KASA
Time;1.ZAMAN 2.KERE 3.ZAMANLAMAK
Timetable;(zaman) TARİFESİ (gemi,uçak v.b)
Tin;1.TENEKE 2.KONSERVE
Tiny;ÇOK KÜÇÜK
Tip;1.BAHŞİŞ, BAHŞİŞ VERMEK  2.ÖNERİ,TAVSİYE 3.UC
Tire;YORMAK
Tired;YORGUN
Tissue;KAĞIT MENDİL
Title;1.BAŞLIK  2.UNVAN
To;..e KADAR
Toast;1.TOST, TOST YAPMAK  2.KADEH KALDIRMAK
Tobacco;TÜTÜN
Today;BUGÜN
Toe;AYAK BAŞ PARMAĞI
Together;BİRLİKTE
Toilet;TUVALET
Token;1)İŞARET 2)JETON
Tomato;DOMATES
Tomorrow;YARIN
Ton;TON (1000 kg.)
Tone;TON (SES,IŞIK vs.)
Tongue;DİL
Tonight;BU GECE
Too;1.ÇOK 2....DE ...DA EKİ
Tool;ALET (Çekiρ, Balta vb.)
Tooth;DİŞ
Tooth Pick;KÜRDAN
Top;EN YÜKSEK, EN İYİ, ÜST, KAPAK
Topic;KONU
Torch;1)MEŞALE 2)EL FENERİ
Torpedo;TORPİL
Tortoise;KAPLUMBAĞA
Torture;İŞKENCE, İŞKENCE ETMEK
Total;TOPLAM
Totally;BÜTÜNÜYLE
Touch;DOKUNMAK
Tough;ZOR, GÜÇ, SERT
Tour;TUR
Tournament;TURNUVA
Towards;DOĞRU (ona doğru, akşama doğru)çok yakın sonlarında
Towel;HAVLU
Tower;KULE
Town;KASABA
Toy;OYUNCAK
Trace;İZ, İZ SÜRMEK
Track;İZ SÜRMEK, TAKİP ETMEK
Trade;1.TİCARET  2.İŞ
Tradition;GELENEK
Traffic;TRAFİK
Tragedy;TRAJEDİ
Train;1.EĞİTMEK  2.STAJ YAPMAK   3.TREN
Training;EĞİTİM,ÖĞRETİM
Transfer;TRANSFER
Transform;BİR ŞEYİN ŞEKLİNİ DEĞİŞTİRMEK
Translate;ÇEVİRİ , TERCÜME
Transparent;SAYDAM
Transport;TAŞIMACILIK
Trap;TUZAK, KAPAN, YAKALAMAK
Travel;YOLCULUK YAPMAK
Tray;TEPSİ
Treasure;HAZİNE
Treat;1.DAVRANMAK,MUAMELE ETMEK 2.TEDAVİ ETMEK 3.İKRAM
Treatment;1.DAVRANIŞ  2.TEDAVİ
Tree;AĞAÇ
Tremendous;ÇOK BÜYÜK, HARİKA
Trial;1.DENEME,TEŞEBBÜS 2.DURUŞMA 3.TRIALBALANCE = MİZAN
Tribe;KABİLE
Trick;1.HİLE,HİLE YAPMAK  2.OYUN (kağıt oyunları vb.)
Trigger;TETİK ( Who pulled triger? )
Trip;1.GEZİ  2.ÇELME TAKMAK
Tripod;ÜÇ AYAKLI SEHPA, FOTOĞRAF SEHPASI
Triumph;ZAFER, UTKU
Troop;İNSAN VEYA HAYVA GRUBU, SÜRÜ
Troops;ASKERLER
Trouble;DERT, DERT ETMEK
Trousers;PANTOLON
Truck;KAMYON
True;DOĞRU, GERÇEK
Trunk;1.AĞAÇ GÖVDESİ  2.SANDIK  3. FİL HORTUMU
Trust;GÜVENMEK
Truth;GERÇEK
Try;DENEMEK, DENEME
Tube;TÜP
Tuesday;SALI
Tuition;ÖĞRETİM, ÖZEL DERS
Tulip;LALE, LALE FİDANI
Tummy;MİDE
Tune;1.AKORD ETMEK, AYARLAMAK, 2.EZGİ
Tunnel;TÜNEL
Turban;TÜRBAN
Turkey;1.HİNDİ  2 TÜRKİYE
Turn;DÖNMEK, DÖNÜŞ 2.It's your turn=Sıra sende
Turnkey;ANAHTAR TESLİM (proje vb.)
Turnover;CİRO (SATIS)
Twice;İKİ KEZ
Twist;ÇEVİRMEK(kuvvetlice), KIVIRMAK,BURKULMAK
Type;1.ÇEŞİT, TİP 2.DAKTİLOYLA YAZMAK
Typical;TİPİK
Typist;DAKTİLODA YAZI YAZAN KİMSE
Tyre;LASTİK
Ufo;UNIDENTIFIEND FLYING OBJECT: TANIMLANMAMIŞ UÇAN CİSİ
Ugly;ÇİRKİN
Umbrella;ŞEMSİYE
Unable;MUKTEDİR OLMAMAK
Uncle;DAYI, AMCA
Unconscious;BİLİNÇSİZLİK
Under;ALTTA, ALTA
Underclothes;İÇ ÇAMAŞIRI
Undergo;KATLANMAK, ÇEKMEK, BİR OLAYIN OLMASI
Underline;YAZININ, KELİMENİN ALTINI ÇİZMEK
Understand;ANLAMAK
Unemployment;İŞSİZLİK
Unfair;ADALETSİZ
Unfair;ADİL OLMAYAN
Unfavourable;HOŞA GİTMEYEN
Unhappy;MUTSUZ
Unhealthy;SAĞLIKSIZ
Uniform;1.ÜNİFORMA 2.TEK TİP
Union;1.SENDİKA  2.BİRLEŞME
Unit;BİRİM, 1-9 ARASINDAKİ SAYILAR
Unite;BİRLEŞMEK
University;ÜNİVERSİTE
Unknown;BİLİNMEYEN
Unless;OLMADIKÇA
Unlikely;AZ İHTİMALLE
Unload;BOŞALTMAK (yük boşaltmak)
Unlock;KİLİDİ AÇMAK
Until;KADAR (belli bir zamana kadar)
Up;1.YUKARI  2.DİKİNE  3.TÜMÜYLE
Up To You;SANA KALMIŞ, NASIL İSTERSEN (It's up to you)
Upon;ÜSTÜNDE
Upper;ÜST
Upset;1.ENDİŞELENDİRMEK  2.DEVİRMEK
Upside-Down;TEPE TAKLAK, TERS DÖNMEK
Upstairs;ÜST KAT, YUKARISI
Up-To-Date;BUGÜNE KADAR
Upward;YUKARIYA DOĞRU
Urban;ŞEHİRSEL, KENTE AİT (Urban Life : Şehirsel yaşam)
Urge;DÜRTME, (ısrar ederek ) YAPTIRMA ,ZORLAMAK
Urgent;ACİL
Us;BİZE
Use;1.KULLANIM  2.FONKSİYON
Use;KULLANMAK
Useful;KULLANIŞLI
Usual;OLAĞAN
V.I.P.;(VERY IMPORTANT PERSON), ÇOK ÖNEMLİ KİŞİ
Vacant;1.BOŞ  2.AÇIK (bir iş yerinde)
Vacation;TATİL
Vacuum cleaner; ELEKTRİK SÜPÜRGESİ
Vain;GEREKSİZ, BOŞUNA
Valley;VADİ
Valuable;DEĞERLİ
Value;DEĞER
Van;MİNİBÜS
Vanilla;VANİLYA
Vaporize;BUHARLAŞMAK
Variety;1.FARK  2.ÇEŞİTLİLİK, ÇEŞİT
Various;DEĞİŞİK, ÇEŞİTLİ
Vase;VAZO
Vegetable;SEBZE
Vehicle;TAŞIT ARACI ( kamyon,TIR,araba v.b )
Veil;DUVAK
Vein;DAMAR
Velvet;KADİFE
Venture;MACERA, RİSK (Genelde iş hayatında)
Verb;FİİL
Verdict;HÜKÜM
Vertical;DİKEY
Very;ÇOK, TAM
Vest;ATLET, FANİLA
Vet;VETERİNER
Veto;VETO, VETO ETMEK
Via;GEÇEREK,ORADAN (We go from London to Van via Paris.)
Viable;GEÇERLİ (But in practice it wouln't be viable)
Vice;1)YARDIMCI, LİDERİN YARDIMCISI 2)MENGENE
Vicious Circle;  KISIR DÖNGÜ
Victim;KURBAN, KAZAZEDE
Victimize;KURBAN ETMEK (Grubun suρunu bir kişiye yüklemek.)
Victor;GALİP
Victory;UTKU, ZAFER, YENGİ
View;GÖRÜNÜM, MANZARA
Villa;VİLLA
Village;KÖY
Vine;BAĞ
Vinegar;SİRKE
Violent;KABA KUVVET KULLANAN, ŞİDDET
Violin;KEMAN
Visa;VİZE
Visible;GÖRÜNEN
Vision;GÖRÜŞ, İMGE
Visit;ZİYARET ETMEK
Visitor;ZİYARETÇİ, KONUK
Vital;ÇOK ÖNENEMLİ
Vocabulary;KELİME DAĞARCIĞI
Voice;SES
Volcano;VOLKAN,YANARDAĞ
Volleyball;VOLEYBOL
Volume;HACİM
Voluntary;GÖNÜLLÜ
Vomit;KUSMAK
Vote;OY VERMEK, OY
Vowel;SESLİ HARF (a,e,i)
Voyage;DENİZ YOLCULUĞU
Vulgar;KABA, İLKEL
Vulnerable;ZAYIF, KORUMASIZ
Vulture;1)AKBABA 2)HARİS KİMSE
Wage;SAAT ÜCRETİ
Wager;İDDİAYA GİRMEK
Wagon;YÜK VAGONU, AT ARABASI
Waist;BEL
Waistcoat;YELEK
Wait;BEKLEMEK
Waiter;GARSON
Wake;UYANMAK, UYANDIRMAK
Walk;YÜRÜMEK, YÜRÜYÜŞ
Wall;DUVAR
Wallet;CÜZDAN
Walnut;CEVİZ
Wander;DOLAŞMAK
Want;İSTEMEK, İSTEK
War;SAVAŞ
Warder;1) BEKÇİ, MUHAFIZ 2) GARDİYAN
Wardrobe;GARDROP, BÜYÜK DOLAP
Ware;EŞYA (Kitchen ware vb.)
Warehouse;DEPO
Warm;1.ILIK, ILINDIRMAK  2.SEVECEN
Warn;UYARMAK
Warrant;GARANTİ
Wash;1.YIKAMAK   2.KİRLİ ÇAMAŞIR
Wasp;ARI (Bal arısı değil)
Waste;1.ARTIK, GEREKSİNİM DUYULMAYAN  2.BOŞA HARCAMAK
Watch;1.İZLEMEK, SEYRETMEK, BAKMAK  2.KOL SAATİ
Water;SU, SULAMAK
Water Proof;SU GEÇİRMEYEN
Water-Colours;  SULU BOYA
Waterfall;ŞELALE
Wave;1.DALGA( deniz,radyo) DALGALANMA  2.EL SALLAMAK
Way;YOL, ROTA, YÖN
We;BİZ
Weak;ZAYIF,ERKSİZ
Wealth;SERVET
Weapon;SİLAH
Wear;GİYMEK
Weather;  HAVA,İKLİM
Wednesday;ÇARŞAMBA
Week;HAFTA
Weigh;AĞARLIK, TARTMAK
Welcome;1.AĞIRLAMAK, HOŞ GELDİN
Well;1.İYİ 2.KUYU
Well-Known;ÜNLÜ, BİLİNEN
West;BATI
Wet;NEMLİ
Whale;BALİNA
What;NE
What If;NE OLURDU..
Whatever;HERNEYSE
What's Its (His/Her) Name;BİLMEM KİM (BİRİSİNİN ADINI UNUTMA)
What's More;BUNUN YANISIRA, ÜSTELİK
What's What;İŞİN ÖNEMİNİ BİLMEK (I know what's what)
Wheel;TEKERLEK, ÇARK, TEKERLEKLİ BİR ŞEYİ ELLE İTMEK
When;NE ZAMAN
Whenever;1.HERHANGİ BİR ZAMAN  2.NE ZAMAN Kİ ...
Where;NEREYE, NEREDE
While;BU ARADA
Whim;KAPRİS
Whip;KIRBAÇ
Whisper;FISILDAMAK, FISILDAŞMAK
Whistle;ISLI, ISLIK ÇALMAK, DÜDÜK
White;BEYAZ, AK, BEYAZ TENLİ
Who;KİM
Whoever;HERKİMSE
Whole;TÜM, BÜTÜN  WHOLESALES = TOPTAN SATIŞ
Whose;KİMİN
Why;NEDEN, NİÇİN
Wide;1.GENİŞ  2.KENARDAN KENARA
Widow;DUL
Wife;KARI (eş)
Wig;PERUK
Wild;VAHŞİ
Will;1.İRADE 2.İSTEK 3. VASİYET 4.GELECEK ZAMAN EKİ
Win;KAZANMAK
Wind;SARMAK, KURMAK (saat v.b )
Wind;RÜZGAR
Wind Screen;ARABA ÖN CAMI
Window;PENCERE
Windpipe;NEFES BORUSU
Windscreen Wiper;SİLECEK
Wine;ŞARAP
Wing;KANAT (Kuş,uçak)(Left wing:Sol kesimi destekleyenler
Winter;KIŞ
Wipe;SİLMEK, KURULAMAK (havluyla vs.)
Wire;1.TEL 2.TELGRAF
Wireless;TELSİZ
Wisdom;AKIL
Wise;ZEKİ, AKILLI
Wish;İSTEK, İSTEMEK
Witch;CADI
With;İLE
Withdraw;1.ÇEKMEK  2.GERİ ÇEKİLMEK  3.SIZMAK
Within;İÇİNDE
Without;SAHİP OLMAYARAK, YANINDA OLMADAN
Witness;TANIK, TANIKLIK ETMEK
Wolf;KURT
Woman;KADIN
Wonder;1.MERAK ETMEK  2.ŞAŞIRMAK
Wonderful;ŞAŞIRTICI, HARİKA
Wood;ODUN
Wool;YÜN
Word;SÖZCÜK, KELİME
Work;ÇALIŞMAK, İŞ
Worker;İŞÇİ
World;DÜNYA
Worm;SOLUCAN
Worry;ENDİŞELENMEK
Worse;DAHA KÖTÜ
Worship;1)TAPMAK, TAPINMAK, İBADET 2)HAYRANLIK, SAYGI
Worst;EN KÖTÜ
Worth;DEĞERİNDE OLMAK, DEĞERDE
Wound;YARALAMAK, YARA
Wrap;PAKETLEMEK, SARMAK
Wreck;HURDA, ENKAZ ,ÇARPIŞMA,MAFOLMA
Wrist;BİLEK
Write;YAZMAK
Wrong;YANLIŞ
X-Ray;RÖNTGEN IŞINI, X IŞINI
Yacht;YAT (deniz taşıtı )
Yard;AVLU
Year;YIL
Yellow;SARI
Yes;EVET
Yesterday;DÜN
Yet;HALA, ŞİMDİYE KADAR, HENÜZ
Yield;1.ÜRÜN VERMEK  2.DIŞARI VERMEK  3.TESLİM OLMAK
Yoghurt;YOĞURT
Yolk;YUMURTANIN SARISI
Young;GENÇ
Your;SENİN, SİZİN
Youth;GENÇLİK
Zero;SIFIR
Zip;FERMUAR
Zone;BÖLGE
Zoom;YAKLAŞTIRMAK
