TERK ETMEK;Abandon
1.KÜÇÜK YUVARLAK İŞARET 2.BEN (ciltteki) 3.LEKE;Spot
1.LEKELEMEK  2.TANIMAK,AYIRMAK;Spot
YAYILMAK, YAYMAK;Spread
1.İLKBAHAR 2.YAY 3.ÜSTÜNE ATLAMAK 4.PINAR;Spring
CASUS;Spy
KARE;Square
1)BİR ÇEŞİT OYUN 2)SIKIŞMAK;Squash
SIKIŞMAK, SIKIŞTIRMAK, SIKMAK;Squeeze
DENGELEME,SAPTAMA;Stabilize
1)AHIR 2)İSTİKRARLI (Stable goverment);Stable
STADYUM;Stadium
ELEMAN, MEMUR;Staff
1.EVRE SAFRA 2.SAHNE;Stage
LEKELEMEK;Stain
MERDİVEN;Stair
1)KÜÇÜK DÜKKAN, TEZGAH 2)VAKİT KAZANMA;Stall
PUL, DAMGA, DAMGALAMAK;Stamp
AYAKLA BASMAK, EZMEK;Stamp
1.AYAKTA DURMAK,BULUNMAK 2.STAND IN=DUBLÖRLÜK YAPMAK;Stand
STANDART;Standard
ZIMBA (Tel);Stapler
YILDIZ;Star
UZUN SÜRE BAKMAK;Stare
BAŞLAMAK, BAŞLANGIÇ;Start
1.DEVLET 2.DURUM;State
SÖYLEMEK VEYA YAZMAK(bir şeyi);State
İSTASYON, DURAK;Station
KIRTASİYE;Stationery
HEYKEL;Statue
KALMAK;Stay
SABİT;Steady
BONFİLE;Steak
ÇALMAK;Steal
BUHAR;Steam
1)ÇELİK 2)BÜYÜK GÜÇ;Steel
1)HIZLI YÜKSELME veya DÜŞME, GENİŞ AÇI 2)ÇOK FAZLA;Steep
DİDON, YÖNLENDİRMEK (bisiklet,motor,sandal,vs.);Steer
1.ADIM, ADIM ATMAK  2.ÜVEY;Step
ÜVEY ÇOCUK;Step Child
1)AMELİYATLA KISIR ETMEK 2)BAKTERİ;Sterile
KISIRLAŞTIRMA, MİKROPLARDAN ARITMA;Sterilize
GÖĞÜS DİNLEME CİHAZI, STETESKOP;Stethoscope
1) ERKEK HOSTES 2) KAHYA (çiflik vb.);Steward
SOPA, BASTON;Stick
YAPIŞTIRMAK, DEĞDİRMEK, YAPIŞMAK;Stick
KOLAY BÜKÜLMEYEN, SERT;Stiff
1.HAREKETSİZ, SAKİN  2.HALA;Still
1.KARIŞTIRMAK (çay v.b)  2.HAREKET ETTİRMEK;Stir
1.STOK, STOK YAPMAK 2.HİSSE SENEDİ;Stock
HİSSE SENEDİ;Stock Certificate
KADIN ÇORABI;Stocking
MİDE;Stomach
1.TAŞ  2.MEYVE ÇEKİRDEĞİ  3.(6.3)Kg.;Stone
TABURE;Stool
STOP, DURMAK, NOKTA, DURAK;Stop
DÜKKAN, DEPOLAMAK;Store
FIRTINA;Storm
ÖYKÜ ,HİKAYE;Story
SOBA;Stove
DÜZGÜN, EN KISA YOLDAN;Straight
GERMEK, SÜZMEK, İNCİLTMEK, ÇOK GÜÇ, ZOR;Strain
SÜZGEÇ;Strainer
GARİP, TUHAF;Strange
TUTACAK, ASKI (Elbise, Ayakkabı);Strap
1.SAMAN  2.KAMIŞ (bardak için v.b)  3.HASIR;Straw
ÇİLEK;Strawberry
IRMAK;Stream
CADDE;Street
GÜÇ, KUVVET;Strength
BASTIRMAK(üzerine basa basa konuşmak), STRES;Stress
1.GERİNMEK,GERMEK 2.BİR KEREDE 3.TOPRAK PARÇASI;Stretch
SEDYE;Stretcher
KATI (katı kuralları olan);Strict
1.GREV YAPMAK, GREV  2.VURMAK;Strike
İP,TEL;String
SOYMAK, SOYUNMAK;Strip
1.ŞERİT,ÇİZGİ  2.KIRBAÇ CEZASI;Stripe
1.ÇARPIŞ 2.FELÇ 3.OKŞAMAK;Stroke
GÜÇLÜ;Strong
YAPI;Structure
1.KAVGA ETMEK 2.ÇABA;Struggle
ÖĞRENCİ;Student
SÜTÜDYO;Studio
ÇALIŞMAK, OKUMAK, İNCELEMEK;Study
1.CİSİM , ŞEY 2.TIKIŞTIRMAK;Stuff
APTAL;Stupid
KEKELEMEK, KEKEME;Stutter
SİTİL;Style
1.KONU  2.ÖZNE;Subject
DENİZALTI;Submarine
1)REYİNE,ONAMASINA BIRAKMA 2)TESLİM OLMA,BOYUN EĞME;Submit
1)ABONE PARASI ÖDEME 2)SÜREKLİ PARA YARDIMI YAPMAK;Subscribe
YARDIM ETME (In scholl you can buy subsidized meats);Subsidize
YARDIM, SÜBVANSİYON (Devletten);Subsidy
MADDE, CEVHER;Substance
VEKİL TAYİN ETME, YERİNE GEÇME;Substitute
ÇIKARMAK (6-3=3);Subtract
BANLİYÖ;Suburb
ALT GEÇİT , ALT YOL;Subway
1.BAŞARMAK  2.YERİNİ ALMAK;Succeed
BAŞARI;Success
ARDARDA ,DEVAMLI;Succession
1.BUNUN GİBİ  2.BU KADAR;Such
EMMEK;Suck
ANİ;Sudden
ACI ÇEKMEK;Suffer
YETERİNCE;Sufficient
ŞEKER;Sugar
ÖNERMEK;Suggest
ÖNERİ;Suggestion
İNTİHAR (Commit suicide : İntihar etmek);Suicide
1.YAKIŞMAK 2.UYGUN GELMEK 3.TAKIM ELBİSE;Suit
BAVUL (Elbise iρin);Suitcase
TOPLAM;Sum
ÖZET;Summary
YAZ;Summer
ZİRVE;Summit
GÜNEŞ;Sun
PAZAR (günü );Sunday
GÜNEŞİN BATIŞI;Sunset
GÜNEŞ IŞIĞI;Sunshine
BRONZ RENGİ (ciltte);Suntan
SÜPER;Super
HARİKA, ÇOK GÜZEL;Superb
DAHA İYİ, ÖNEMLİ, AKILLI;Superior
BATIL İNANÇ;Superstition
DENETLEME, GÖZLEM;Supervise
YEMEK (günün son yemeği);Supper
ERZAK, MAL;Supplies
SAĞLAMAK, MİKTAR;Supply
TAŞIMAK, YARDIM ETMEK, TARAF TUTMAK, DESTEKLEMEK;Support
SANMAK;Suppose
1)BASKI ALTINA ALMA,SİNDİRME 2)YAYINLANMASINI ÖNLEME;Suppress
YÜCE, ÜSTÜN;Supreme
EMİN, KESİN;Sure
YÜZEY;Surface
CERRAH;Surgeon
AMELİYAT;Surgery
SOYADI;Surname
1.ŞAŞIRTMAK 2.SÜRPRİZ;Surprise
TESLİM OLMAK (To yield);Surrender
ÇEVRELEMEK;Surround
ŞÜPHELENMEK;Suspect
ASKIYA ALMAK, DURDURMAK;Suspend
ASMA,ASILMA (Suspensıon Brıdge : Asma köprü);Suspension
ŞÜPHE;Suspicion
1.YUTMAK 2. KIRLANGIÇ;Swallow
KUĞU;Swan
1.YEMİN ETMEK 2.KÜFRETMEK;Swear
TER,TERLEMEK;Sweat
SÜVETER;Sweater
SÜPÜRMEK;Sweep
TATLI;Sweet
ŞİŞMEK, KALINLAŞMAK;Swell
YÜZMEK;Swim
1.SALLANMAK  2.GÜÇLÜ RİTİM;Swing
AÇMAK, KAPATMAK (düğme);Switch
ŞİŞMİŞ;Swollen
KILIÇ;Sword
SEMBOL;Symbol
ŞURUP;Syrup
SİSTEM;System
1.MASA 2.TABLO,LİSTE;Table
TABLET;Tablet
AYIP, ARGO, TABU;Taboo
KUYRUK (kedi,uçak v.b);Tail
TERZİ;Tailor
TUTMAK,ALMAK,TAKE OFF=elbise çıkarmak,uçak kalkması;Take
1)KABİLİYET (ÜSTÜN) 2)SEKSİ CAZİBESİ OLAN KADIN;Talent
KONUŞMA, KONUŞMAK;Talk
KONUŞKAN;Talkative
UZUN;Tall
EVCİL, EVCİLLEŞTİRMEK;Tame
TEN RENGİ;Tan
MANDALİNA;Tangerine
1.TANK (depo) 2.TANK (silah);Tank
1.MUSLUK 2.TIKLATMAK;Tap
BANT, SELOTEYP;Tape
MEZURA;Tape-Measure
HEDEF;Target
TARİFE, FİAT LİSTESİ;Tariff
1)TURTA,TART,PASTA 2)ASİT TADI3)SOKAK KADINI,FAHİŞE;Tart
GÖREV;Task
TATMAK, TAD;Taste
VERGİ;Tax
TAKSİ;Taxi
ÇAY;Tea
ÖĞRETMEK;Teach
ÖĞRETMEN;Teacher
TAKIM, GRUP;Team
1.GÖZYAŞI 2.DELİK (kumaş,kağıtta v.b) 3.YIRTMAK;Tear
1)KIZDIRMA,YÜZ VERİP SONRA SIRT ÇEVİRME2)KABARTMA(SA;Tease
TEKNİK;Technique
13-19 YAŞ ARASI;Teenager
TELGRAF;Telegram
TELEFON;Telephone
TELESKOP;Telescope
TELEVİZYON;Television
ANLATMAK, SÖYLEMEK;Tell
1.RUHSAL DURUM 2.KIZGIN;Temper
SICAKLIK;Temperature
TAPINAK;Temple
GEÇİCİ;Temporary
CEZBETMEK, ŞEYTANA UYDURMAK;Tempt
KİRACI;Tenant
MEYİLLİ OLMAK;Tend
1.KOLAY ÇİĞNENEBİLEN 2.YUMUŞAK, İYİ HUYLU 3.İHALE;Tender
TENTE,ÇADIR;Tent
1.ZAMAN DİLİMİ 2.SÖZCÜKLER  3.SÖMESTR;Term
TERMİNAL;Terminal
BİTİŞİK EVLER;Terrace
KORKUNÇ, KÖTÜ;Terrible
1.KOCAMAN 2.ÇOK GÜZEL;Terrific
KORKUTMAK;Terrify
TOPRAK PARÇASI;Territory
1.BÜYÜK KORKU  2.TERÖR;Terror
SINAMAK, DENEMEK, TEST;Test
...DEN ...DAN EKİ;Than
TEŞEKKÜR ETMEK;Thank
O;That
TİYATRO;Theatre
ONLARIN;Their
ONLARI;Them
TEMA, KONU;Theme
1.ÖYLEYSE 2.O ZAMANDA 3.ONDAN SONRA,DAHA SONRA;Then
TEORİ;Theory
1.ORADA 2.VAR OLMAK (There is DALLAS on TV today.);There
DOLAYISIYLA;Therefore
TERMOMETRE;Thermometer
BUNLAR;These
ONLAR (çoğul üçüncü kişi zamiri);They
1.KALIN 2.SIK;Thick
HIRSIZ;Thief
İNCE;Thin
ŞEY;Thing
DÜŞÜNMEK;Think
ÜÇÜNCÜ;Third
SUSAMIŞLIK, SUSATAN;Thirsty
ONÜÇÜNCÜ;Thirteenth
OTUZUNCU;Thirtieth
BU;This
1.TÜMÜYLE 2.DİKKATLİ;Thorough
TAMAMIYLA, BÜTÜN İNCE DETAYLARIYLA;Thoroughly
ONLAR;Those
NEDENSE;Though
DÜŞÜNCE;Thought
DÜŞÜNCELİ,ÖBÜRLERİNİ DÜŞÜNEN;Thoughtful
DÜŞÜNCESİZ;Thoughtless
İP, İPİ İĞNEYE TAKMAK;Thread
TEHTİD;Threat
TEHTİD ETMEK;Threaten
GIRTLAK, YEMEK BORUSU;Throat
İÇİNDEN, BAŞTAN SONA;Through
FIRLATMAK;Throw
EL, BAŞ PARMAĞI;Thumb
GÖK GÜRÜLTÜSÜ;Thunder
FIRTINA;Thunderstorm
PERŞEMBE;Thursday
BÖYLE, BÖYLECE;Thus
SAAT SESİ, OKEY İŞARETİ;Tick
BİLET;Ticket
GEL-GİT OLAYI;Tide
DÜZENLİ, DERLİ TOPLU;Tidy
1.BAĞ, BAĞLAMAK, BERABERE 2.BOYUNBAĞI KRAVAT;Tie
KAPLAN;Tiger
SIKI, KOLAY AÇILMAZ;Tight
1.KADAR 2.YAZAR KASA;Till
1.ZAMAN 2.KERE 3.ZAMANLAMAK;Time
(zaman) TARİFESİ (gemi,uçak v.b);Timetable
1.TENEKE 2.KONSERVE;Tin
ÇOK KÜÇÜK;Tiny
1.BAHŞİŞ, BAHŞİŞ VERMEK  2.ÖNERİ,TAVSİYE 3.UC;Tip
YORMAK;Tire
YORGUN;Tired
KAĞIT MENDİL;Tissue
1.BAŞLIK  2.UNVAN;Title
..e KADAR;To
1.TOST, TOST YAPMAK  2.KADEH KALDIRMAK;Toast
TÜTÜN;Tobacco
BUGÜN;Today
AYAK BAŞ PARMAĞI;Toe
BİRLİKTE;Together
TUVALET;Toilet
1)İŞARET 2)JETON;Token
DOMATES;Tomato
YARIN;Tomorrow
TON (1000 kg.);Ton
TON (SES,IŞIK vs.);Tone
DİL;Tongue
BU GECE;Tonight
1.ÇOK 2....DE ...DA EKİ;Too
ALET (Çekiρ, Balta vb.);Tool
DİŞ;Tooth
KÜRDAN;Tooth Pick
EN YÜKSEK, EN İYİ, ÜST, KAPAK;Top
KONU;Topic
1)MEŞALE 2)EL FENERİ;Torch
TORPİL;Torpedo
KAPLUMBAĞA;Tortoise
İŞKENCE, İŞKENCE ETMEK;Torture
TOPLAM;Total
BÜTÜNÜYLE;Totally
DOKUNMAK;Touch
ZOR, GÜÇ, SERT;Tough
TUR;Tour
TURNUVA;Tournament
DOĞRU (ona doğru, akşama doğru)çok yakın sonlarında;Towards
HAVLU;Towel
KULE;Tower
KASABA;Town
OYUNCAK;Toy
İZ, İZ SÜRMEK;Trace
İZ SÜRMEK, TAKİP ETMEK;Track
1.TİCARET  2.İŞ;Trade
GELENEK;Tradition
TRAFİK;Traffic
TRAJEDİ;Tragedy
1.EĞİTMEK  2.STAJ YAPMAK   3.TREN;Train
EĞİTİM,ÖĞRETİM;Training
TRANSFER;Transfer
BİR ŞEYİN ŞEKLİNİ DEĞİŞTİRMEK;Transform
ÇEVİRİ , TERCÜME;Translate
SAYDAM;Transparent
TAŞIMACILIK;Transport
TUZAK, KAPAN, YAKALAMAK;Trap
YOLCULUK YAPMAK;Travel
TEPSİ;Tray
HAZİNE;Treasure
1.DAVRANMAK,MUAMELE ETMEK 2.TEDAVİ ETMEK 3.İKRAM;Treat
1.DAVRANIŞ  2.TEDAVİ;Treatment
AĞAÇ;Tree
ÇOK BÜYÜK, HARİKA;Tremendous
1.DENEME,TEŞEBBÜS 2.DURUŞMA 3.TRIALBALANCE = MİZAN;Trial
KABİLE;Tribe
1.HİLE,HİLE YAPMAK  2.OYUN (kağıt oyunları vb.);Trick
TETİK ( Who pulled triger? );Trigger
1.GEZİ  2.ÇELME TAKMAK;Trip
ÜÇ AYAKLI SEHPA, FOTOĞRAF SEHPASI;Tripod
ZAFER, UTKU;Triumph
İNSAN VEYA HAYVA GRUBU, SÜRÜ;Troop
ASKERLER;Troops
DERT, DERT ETMEK;Trouble
PANTOLON;Trousers
KAMYON;Truck
DOĞRU, GERÇEK;True
1.AĞAÇ GÖVDESİ  2.SANDIK  3. FİL HORTUMU;Trunk
GÜVENMEK;Trust
GERÇEK;Truth
DENEMEK, DENEME;Try
TÜP;Tube
SALI;Tuesday
ÖĞRETİM, ÖZEL DERS;Tuition
LALE, LALE FİDANI;Tulip
MİDE;Tummy
1.AKORD ETMEK, AYARLAMAK, 2.EZGİ;Tune
TÜNEL;Tunnel
TÜRBAN;Turban
1.HİNDİ  2 TÜRKİYE;Turkey
DÖNMEK, DÖNÜŞ 2.It's your turn=Sıra sende;Turn
ANAHTAR TESLİM (proje vb.);Turnkey
CİRO (SATIS);Turnover
İKİ KEZ;Twice
ÇEVİRMEK(kuvvetlice), KIVIRMAK,BURKULMAK;Twist
1.ÇEŞİT, TİP 2.DAKTİLOYLA YAZMAK;Type
TİPİK;Typical
DAKTİLODA YAZI YAZAN KİMSE;Typist
LASTİK;Tyre
UNIDENTIFIEND FLYING OBJECT: TANIMLANMAMIŞ UÇAN CİSİ;Ufo
ÇİRKİN;Ugly
ŞEMSİYE;Umbrella
MUKTEDİR OLMAMAK;Unable
DAYI, AMCA;Uncle
BİLİNÇSİZLİK;Unconscious
ALTTA, ALTA;Under
İÇ ÇAMAŞIRI;Underclothes
KATLANMAK, ÇEKMEK, BİR OLAYIN OLMASI;Undergo
YAZININ, KELİMENİN ALTINI ÇİZMEK;Underline
ANLAMAK;Understand
İŞSİZLİK;Unemployment
ADALETSİZ;Unfair
ADİL OLMAYAN;Unfair
HOŞA GİTMEYEN;Unfavourable
MUTSUZ;Unhappy
SAĞLIKSIZ;Unhealthy
1.ÜNİFORMA 2.TEK TİP;Uniform
1.SENDİKA  2.BİRLEŞME;Union
BİRİM, 1-9 ARASINDAKİ SAYILAR;Unit
BİRLEŞMEK;Unite
ÜNİVERSİTE;University
BİLİNMEYEN;Unknown
OLMADIKÇA;Unless
AZ İHTİMALLE;Unlikely
BOŞALTMAK (yük boşaltmak);Unload
KİLİDİ AÇMAK;Unlock
KADAR (belli bir zamana kadar);Until
1.YUKARI  2.DİKİNE  3.TÜMÜYLE;Up
SANA KALMIŞ, NASIL İSTERSEN (It's up to you);Up To You
ÜSTÜNDE;Upon
ÜST;Upper
1.ENDİŞELENDİRMEK  2.DEVİRMEK;Upset
TEPE TAKLAK, TERS DÖNMEK;Upside-Down
ÜST KAT, YUKARISI;Upstairs
BUGÜNE KADAR;Up-To-Date
YUKARIYA DOĞRU;Upward
ŞEHİRSEL, KENTE AİT (Urban Life : Şehirsel yaşam);Urban
DÜRTME, (ısrar ederek ) YAPTIRMA ,ZORLAMAK;Urge
ACİL;Urgent
BİZE;Us
1.KULLANIM  2.FONKSİYON;Use
KULLANMAK;Use
KULLANIŞLI;Useful
OLAĞAN;Usual
(VERY IMPORTANT PERSON), ÇOK ÖNEMLİ KİŞİ;V.I.P.
1.BOŞ  2.AÇIK (bir iş yerinde);Vacant
TATİL;Vacation
 ELEKTRİK SÜPÜRGESİ;Vacuum cleaner
GEREKSİZ, BOŞUNA;Vain
VADİ;Valley
DEĞERLİ;Valuable
DEĞER;Value
MİNİBÜS;Van
VANİLYA;Vanilla
BUHARLAŞMAK;Vaporize
1.FARK  2.ÇEŞİTLİLİK, ÇEŞİT;Variety
DEĞİŞİK, ÇEŞİTLİ;Various
VAZO;Vase
SEBZE;Vegetable
TAŞIT ARACI ( kamyon,TIR,araba v.b );Vehicle
DUVAK;Veil
DAMAR;Vein
KADİFE;Velvet
MACERA, RİSK (Genelde iş hayatında);Venture
FİİL;Verb
HÜKÜM;Verdict
DİKEY;Vertical
ÇOK, TAM;Very
ATLET, FANİLA;Vest
VETERİNER;Vet
VETO, VETO ETMEK;Veto
GEÇEREK,ORADAN (We go from London to Van via Paris.);Via
GEÇERLİ (But in practice it wouln't be viable);Viable
1)YARDIMCI, LİDERİN YARDIMCISI 2)MENGENE;Vice
  KISIR DÖNGÜ;Vicious Circle
KURBAN, KAZAZEDE;Victim
KURBAN ETMEK (Grubun suρunu bir kişiye yüklemek.);Victimize
GALİP;Victor
UTKU, ZAFER, YENGİ;Victory
GÖRÜNÜM, MANZARA;View
VİLLA;Villa
KÖY;Village
BAĞ;Vine
SİRKE;Vinegar
KABA KUVVET KULLANAN, ŞİDDET;Violent
KEMAN;Violin
VİZE;Visa
GÖRÜNEN;Visible
GÖRÜŞ, İMGE;Vision
ZİYARET ETMEK;Visit
ZİYARETÇİ, KONUK;Visitor
ÇOK ÖNENEMLİ;Vital
KELİME DAĞARCIĞI;Vocabulary
SES;Voice
VOLKAN,YANARDAĞ;Volcano
VOLEYBOL;Volleyball
HACİM;Volume
GÖNÜLLÜ;Voluntary
KUSMAK;Vomit
OY VERMEK, OY;Vote
SESLİ HARF (a,e,i);Vowel
DENİZ YOLCULUĞU;Voyage
KABA, İLKEL;Vulgar
ZAYIF, KORUMASIZ;Vulnerable
1)AKBABA 2)HARİS KİMSE;Vulture
SAAT ÜCRETİ;Wage
İDDİAYA GİRMEK;Wager
YÜK VAGONU, AT ARABASI;Wagon
BEL;Waist
YELEK;Waistcoat
BEKLEMEK;Wait
GARSON;Waiter
UYANMAK, UYANDIRMAK;Wake
YÜRÜMEK, YÜRÜYÜŞ;Walk
DUVAR;Wall
CÜZDAN;Wallet
CEVİZ;Walnut
DOLAŞMAK;Wander
İSTEMEK, İSTEK;Want
SAVAŞ;War
1) BEKÇİ, MUHAFIZ 2) GARDİYAN;Warder
GARDROP, BÜYÜK DOLAP;Wardrobe
EŞYA (Kitchen ware vb.);Ware
DEPO;Warehouse
1.ILIK, ILINDIRMAK  2.SEVECEN;Warm
UYARMAK;Warn
GARANTİ;Warrant
1.YIKAMAK   2.KİRLİ ÇAMAŞIR;Wash
ARI (Bal arısı değil);Wasp
1.ARTIK, GEREKSİNİM DUYULMAYAN  2.BOŞA HARCAMAK;Waste
1.İZLEMEK, SEYRETMEK, BAKMAK  2.KOL SAATİ;Watch
SU, SULAMAK;Water
SU GEÇİRMEYEN;Water Proof
  SULU BOYA;Water-Colours
ŞELALE;Waterfall
1.DALGA( deniz,radyo) DALGALANMA  2.EL SALLAMAK;Wave
YOL, ROTA, YÖN;Way
BİZ;We
ZAYIF,ERKSİZ;Weak
SERVET;Wealth
SİLAH;Weapon
GİYMEK;Wear
HAVA,İKLİM;Weather
ÇARŞAMBA;Wednesday
HAFTA;Week
AĞARLIK, TARTMAK;Weigh
1.AĞIRLAMAK, HOŞ GELDİN;Welcome
1.İYİ 2.KUYU;Well
ÜNLÜ, BİLİNEN;Well-Known
BATI;West
NEMLİ;Wet
BALİNA;Whale
NE;What
NE OLURDU..;What If
HERNEYSE;Whatever
BİLMEM KİM (BİRİSİNİN ADINI UNUTMA);What's Its (His/Her) Name
BUNUN YANISIRA, ÜSTELİK;What's More
İŞİN ÖNEMİNİ BİLMEK (I know what's what);What's What
TEKERLEK, ÇARK, TEKERLEKLİ BİR ŞEYİ ELLE İTMEK;Wheel
NE ZAMAN;When
1.HERHANGİ BİR ZAMAN  2.NE ZAMAN Kİ ...;Whenever
NEREYE, NEREDE;Where
BU ARADA;While
KAPRİS;Whim
KIRBAÇ;Whip
FISILDAMAK, FISILDAŞMAK;Whisper
ISLI, ISLIK ÇALMAK, DÜDÜK;Whistle
BEYAZ, AK, BEYAZ TENLİ;White
KİM;Who
HERKİMSE;Whoever
TÜM, BÜTÜN  WHOLESALES = TOPTAN SATIŞ;Whole
KİMİN;Whose
NEDEN, NİÇİN;Why
1.GENİŞ  2.KENARDAN KENARA;Wide
DUL;Widow
KARI (eş);Wife
PERUK;Wig
VAHŞİ;Wild
1.İRADE 2.İSTEK 3. VASİYET 4.GELECEK ZAMAN EKİ;Will
KAZANMAK;Win
SARMAK, KURMAK (saat v.b );Wind
RÜZGAR;Wind
ARABA ÖN CAMI;Wind Screen
PENCERE;Window
NEFES BORUSU;Windpipe
SİLECEK;Windscreen Wiper
ŞARAP;Wine
KANAT (Kuş,uçak)(Left wing:Sol kesimi destekleyenler;Wing
KIŞ;Winter
SİLMEK, KURULAMAK (havluyla vs.);Wipe
1.TEL 2.TELGRAF;Wire
TELSİZ;Wireless
AKIL;Wisdom
ZEKİ, AKILLI;Wise
İSTEK, İSTEMEK;Wish
CADI;Witch
İLE;With
1.ÇEKMEK  2.GERİ ÇEKİLMEK  3.SIZMAK;Withdraw
İÇİNDE;Within
SAHİP OLMAYARAK, YANINDA OLMADAN;Without
TANIK, TANIKLIK ETMEK;Witness
KURT;Wolf
KADIN;Woman
1.MERAK ETMEK  2.ŞAŞIRMAK;Wonder
ŞAŞIRTICI, HARİKA;Wonderful
ODUN;Wood
YÜN;Wool
SÖZCÜK, KELİME;Word
ÇALIŞMAK, İŞ;Work
İŞÇİ;Worker
DÜNYA;World
SOLUCAN;Worm
ENDİŞELENMEK;Worry
DAHA KÖTÜ;Worse
1)TAPMAK, TAPINMAK, İBADET 2)HAYRANLIK, SAYGI;Worship
EN KÖTÜ;Worst
DEĞERİNDE OLMAK, DEĞERDE;Worth
YARALAMAK, YARA;Wound
PAKETLEMEK, SARMAK;Wrap
HURDA, ENKAZ ,ÇARPIŞMA,MAFOLMA;Wreck
BİLEK;Wrist
YAZMAK;Write
YANLIŞ;Wrong
RÖNTGEN IŞINI, X IŞINI;X-Ray
YAT (deniz taşıtı );Yacht
AVLU;Yard
YIL;Year
SARI;Yellow
EVET;Yes
DÜN;Yesterday
HALA, ŞİMDİYE KADAR, HENÜZ;Yet
1.ÜRÜN VERMEK  2.DIŞARI VERMEK  3.TESLİM OLMAK;Yield
YOĞURT;Yoghurt
YUMURTANIN SARISI;Yolk
GENÇ;Young
SENİN, SİZİN;Your
GENÇLİK;Youth
SIFIR;Zero
FERMUAR;Zip
BÖLGE;Zone
YAKLAŞTIRMAK;Zoom
